Unnamed: 0,id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l
80,11104,True,2019-09-28 11:00:00,194,Krylya Sovetov Samara,KSS,237,FC Tambov,TAM,2,0,1.76105,0.23468000000000003,0.8444,0.1332,0.0224
81,11108,True,2019-09-28 13:30:00,187,FC Rostov,ROS,190,Dinamo Moscow,DIN,3,0,0.988366,0.818962,0.3889,0.3283,0.2828
82,11110,True,2019-09-28 16:00:00,192,Lokomotiv Moscow,LOK,189,Zenit St. Petersburg,ZEN,1,0,0.760537,0.25472,0.4764,0.4135,0.1101
83,11105,True,2019-09-29 08:30:00,198,Ural,URA,185,CSKA Moscow,CSK,0,3,0.870956,2.38252,0.0824,0.1688,0.7488
84,11106,True,2019-09-29 11:00:00,186,Rubin Kazan,RUB,184,FC Ufa,UFA,0,0,0.335117,0.09537369999999999,0.2631,0.6739,0.063
85,11107,True,2019-09-29 13:30:00,183,Spartak Moscow,SPA,199,FC Orenburg,ORE,1,2,1.7301099999999998,0.695329,0.6454,0.2295,0.1251
86,11109,True,2019-09-29 16:00:00,196,FC Krasnodar,KRA,200,Arsenal Tula,ARS,2,0,1.96206,1.80387,0.4232,0.2409,0.3359
87,11103,True,2019-09-30 16:30:00,236,PFC Sochi,SOC,188,FK Akhmat,AKH,2,0,1.8072599999999999,0.7492300000000001,0.6398,0.2268,0.1334
88,11113,True,2019-10-05 09:30:00,184,FC Ufa,UFA,188,FK Akhmat,AKH,0,1,0.646211,1.40815,0.1453,0.2936,0.5611
89,11115,True,2019-10-05 12:00:00,199,FC Orenburg,ORE,190,Dinamo Moscow,DIN,2,0,1.81528,0.723304,0.6681,0.2194,0.1125
90,11112,True,2019-10-05 14:30:00,186,Rubin Kazan,RUB,237,FC Tambov,TAM,2,1,2.68899,1.17289,0.7354,0.1659,0.0987
91,11111,True,2019-10-05 17:00:00,236,PFC Sochi,SOC,194,Krylya Sovetov Samara,KSS,0,2,0.8614059999999999,2.4654700000000003,0.063,0.1423,0.7947
92,11114,True,2019-10-06 09:30:00,198,Ural,URA,189,Zenit St. Petersburg,ZEN,1,3,0.64958,2.37289,0.0508,0.1258,0.8234
93,11118,True,2019-10-06 12:00:00,192,Lokomotiv Moscow,LOK,200,Arsenal Tula,ARS,2,1,2.15352,0.29411,0.8726,0.1059,0.0215
94,11117,True,2019-10-06 14:30:00,185,CSKA Moscow,CSK,187,FC Rostov,ROS,1,3,1.81539,1.89745,0.3517,0.2617,0.3866
95,11116,True,2019-10-06 17:00:00,196,FC Krasnodar,KRA,183,Spartak Moscow,SPA,2,1,1.6398400000000002,1.0025,0.5314,0.2601,0.2085
96,11124,True,2019-10-18 17:30:00,188,FK Akhmat,AKH,192,Lokomotiv Moscow,LOK,0,2,0.471301,1.1838600000000001,0.1205,0.2913,0.5882
97,11119,True,2019-10-19 12:00:00,237,FC Tambov,TAM,198,Ural,URA,1,2,1.44215,1.59902,0.2971,0.3087,0.3942
98,11126,True,2019-10-19 14:30:00,183,Spartak Moscow,SPA,186,Rubin Kazan,RUB,0,0,1.23863,0.659502,0.512,0.297,0.191
99,11125,True,2019-10-19 17:00:00,189,Zenit St. Petersburg,ZEN,187,FC Rostov,ROS,6,1,3.68195,1.02271,0.9393,0.0489,0.0118
100,11122,True,2019-10-20 09:30:00,199,FC Orenburg,ORE,194,Krylya Sovetov Samara,KSS,0,1,1.28956,0.694933,0.5021,0.302,0.1959
101,11121,True,2019-10-20 12:00:00,184,FC Ufa,UFA,185,CSKA Moscow,CSK,1,1,1.68093,1.20743,0.4955,0.2606,0.2439
102,11120,True,2019-10-20 14:30:00,200,Arsenal Tula,ARS,236,PFC Sochi,SOC,1,1,3.40361,0.451437,0.9644,0.0307,0.0049
103,11123,True,2019-10-20 17:00:00,190,Dinamo Moscow,DIN,196,FC Krasnodar,KRA,1,1,1.58437,0.9206690000000001,0.5561,0.2624,0.1815
104,11132,True,2019-10-25 17:30:00,186,Rubin Kazan,RUB,198,Ural,URA,0,0,1.54872,0.62988,0.6201,0.2435,0.1364
105,11128,True,2019-10-26 12:00:00,237,FC Tambov,TAM,184,FC Ufa,UFA,3,0,1.2146700000000001,0.289181,0.6489,0.276,0.0751
106,11131,True,2019-10-26 14:30:00,188,FK Akhmat,AKH,200,Arsenal Tula,ARS,1,1,1.28853,1.2775,0.35200000000000004,0.2977,0.3503
107,11127,True,2019-10-26 17:00:00,187,FC Rostov,ROS,236,PFC Sochi,SOC,2,0,1.53901,1.0868799999999998,0.4711,0.2791,0.2498
108,11133,True,2019-10-27 11:00:00,194,Krylya Sovetov Samara,KSS,189,Zenit St. Petersburg,ZEN,0,2,0.145866,1.91545,0.0172,0.1391,0.8437
109,11129,True,2019-10-27 13:30:00,185,CSKA Moscow,CSK,190,Dinamo Moscow,DIN,0,1,1.22876,0.8608370000000001,0.4633,0.3399,0.1968
110,11130,True,2019-10-27 13:30:00,192,Lokomotiv Moscow,LOK,183,Spartak Moscow,SPA,0,3,0.82244,1.6280299999999999,0.1616,0.2452,0.5932
111,11134,True,2019-10-27 16:00:00,196,FC Krasnodar,KRA,199,FC Orenburg,ORE,1,1,1.33765,1.3222399999999999,0.341,0.3183,0.3407
112,11137,True,2019-11-02 11:00:00,184,FC Ufa,UFA,192,Lokomotiv Moscow,LOK,1,1,1.22456,0.866107,0.4615,0.3292,0.2093
113,11141,True,2019-11-02 11:00:00,190,Dinamo Moscow,DIN,188,FK Akhmat,AKH,1,1,1.0185600000000001,1.459,0.1663,0.3476,0.4861
