,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
107,128,Pawel Olkowski,27,2113,2,1.3539198087528348,2,2.1174240950495005,22,14,1,1,D M S,FC Cologne,2,1.3539198087528348,5.582957446575165,2.376932740211487,2014
108,131,Jonas Hector,33,2970,2,1.066105019301176,0,1.8659476609900594,20,29,2,0,D M,FC Cologne,2,1.066105019301176,5.356589684262872,3.861883521080017,2014
109,152,Julian Draxler,15,768,2,2.0694433450698853,1,0.62160549685359,23,11,1,1,M S,Schalke 04,2,2.0694433450698853,3.2201213017106056,1.2888502180576324,2014
110,161,Robin Knoche,27,2295,2,1.6237198691815138,0,1.2113648438826203,10,6,0,0,D S,Wolfsburg,2,1.6237198691815138,5.050017645582557,4.674929684028029,2014
111,174,Aaron Hunt,15,413,2,1.1295794770121574,0,0.3233286030590534,9,12,1,0,M S,Wolfsburg,2,1.1295794770121574,3.5552020389586687,2.4915197249501944,2014
112,187,Christoph Kramer,30,2509,2,1.05617920961231,1,2.100830089300871,11,25,6,0,M S,Borussia M.Gladbach,2,1.05617920961231,10.385723634622991,8.541899195872247,2014
113,197,Kyriakos Papadopoulos,14,831,2,1.7860457692295313,1,0.1406037025153637,17,2,5,0,D M S,Bayer Leverkusen,2,1.7860457692295313,0.5450492072850466,0.486258203163743,2014
114,202,Håvard Nordtveit,22,891,2,1.1135913971811533,0,0.46458388306200504,12,5,2,1,D M S,Borussia M.Gladbach,2,1.1135913971811533,1.8303668051958084,1.5911328867077827,2014
115,204,Granit Xhaka,30,2641,2,2.166389445774257,1,1.5732761044055223,61,22,10,1,M,Borussia M.Gladbach,2,2.166389445774257,16.471265353262424,14.596777062863111,2014
116,206,Oscar Wendt,26,2294,2,0.681535392999649,1,0.9828235954046249,8,12,4,0,D S,Borussia M.Gladbach,2,0.681535392999649,10.600961472839117,9.230268141254783,2014
117,207,Ibrahima Traoré,24,835,2,1.6418969053775072,1,1.9675845028832555,23,21,3,0,M S,Borussia M.Gladbach,2,1.6418969053775072,5.002992099151015,2.3864787090569735,2014
118,216,Branimir Hrgota,17,700,2,2.8970672823488712,3,1.5612951777875423,15,12,0,0,F S,Borussia M.Gladbach,2,2.8970672823488712,5.531452868133783,1.8943543322384357,2014
119,218,Philipp Lahm,20,1407,2,1.4807110708206892,2,2.1061397809535265,13,31,0,0,D M S,Bayern Munich,2,1.4807110708206892,12.286251129582524,9.888144293799996,2014
120,228,Sebastian Rode,22,951,2,1.0762816928327084,5,3.737343231216073,13,24,2,0,D M S,Bayern Munich,2,1.0762816928327084,9.462074944749475,7.126476176083088,2014
121,230,Xabi Alonso,26,1977,2,0.8904338357970119,3,2.021111683920026,20,35,6,0,D M S,Bayern Munich,2,0.8904338357970119,11.908170823007822,11.088519539684057,2014
122,265,Ragnar Klavan,34,3060,2,1.5781315248459578,0,0.21778650302439928,16,6,1,0,D,Augsburg,2,1.5781315248459578,4.764019154012203,4.514457822777331,2014
123,293,Marco Russ,26,2224,2,2.4000679003074765,3,1.3628112003207207,18,11,5,0,D M,Eintracht Frankfurt,2,2.4000679003074765,6.500919661484659,5.2460120273754,2014
124,312,Neven Subotic,28,2272,2,1.0892412913963199,0,0.4661984108388424,19,11,9,0,D S,Borussia Dortmund,2,1.0892412913963199,7.769882407039404,7.488760504871607,2014
125,316,Gonzalo Castro,22,1781,2,3.1017829021438956,7,4.4722959361970425,30,34,4,0,D M S,Bayer Leverkusen,2,3.1017829021438956,8.89653853699565,3.9500151593238115,2014
126,324,Adrián Ramos,18,707,2,2.9587681107223034,2,1.4532012389972806,19,17,0,0,F S,Borussia Dortmund,2,2.9587681107223034,5.211286962032318,1.5184164233505726,2014
127,332,Joel Matip,21,1548,2,2.8508092015981674,0,0.30573911033570766,17,5,2,1,D S,Schalke 04,2,2.8508092015981674,2.4976778607815504,2.0110386945307255,2014
128,333,Benedikt Höwedes,28,2487,2,1.5853187963366508,0,1.6977862901985645,11,7,8,0,D,Schalke 04,2,1.5853187963366508,3.8701159451156855,3.5144508592784405,2014
129,343,Pierre-Emile Højbjerg,24,1292,2,1.2763833962380886,3,1.78506710100919,32,19,5,0,M S,"Augsburg,Bayern Munich",2,1.2763833962380886,3.6927480520680547,1.9821842201054096,2014
130,346,Roman Neustädter,29,2423,2,0.6240500006824732,0,0.4414488794282079,14,9,6,0,D M S,Schalke 04,2,0.6240500006824732,5.736843548715115,5.345772125758231,2014
131,349,Artur Sobiech,19,521,2,2.438158655539155,1,0.9699767846614122,11,6,0,0,F S,Hannover 96,2,2.438158655539155,3.7186167035251856,1.4969616485759616,2014
132,350,Felix Klaus,31,2234,2,3.4237297158688307,2,1.1110611222684383,41,17,5,0,M S,Freiburg,2,3.4237297158688307,6.3683236334472895,2.18803018797189,2014
133,373,Mats Hummels,24,2034,2,0.9594423929229379,0,0.5257392972707748,22,9,2,0,D S,Borussia Dortmund,2,0.9594423929229379,6.039591909386218,5.785898854024708,2014
134,387,Luiz Gustavo,31,2634,2,3.7818164750933647,0,1.0630228947848082,36,19,11,0,M S,Wolfsburg,2,3.7818164750933647,12.118944339454174,10.283543607220054,2014
135,417,Tin Jedvaj,22,1664,2,1.1727734031155705,1,0.20316149946302176,16,7,6,1,D S,Bayer Leverkusen,2,1.1727734031155705,2.6982098259031773,1.9427431635558605,2014
136,749,Christian Fuchs,25,1713,2,0.7913732938468456,4,3.924275778234005,16,33,3,0,D M S,Schalke 04,2,0.7913732938468456,5.205229577142745,2.4134198022074997,2014
137,4258,Uwe Hünemeier,32,2816,2,1.8722357265651226,2,1.2220481941476464,30,9,4,0,D,Paderborn,2,1.8722357265651226,3.629909209907055,2.6886548157781363,2014
138,4263,Srdjan Lakic,17,1004,2,1.292817484587431,2,0.730251906439662,15,6,3,0,F S,Paderborn,2,1.292817484587431,2.1652529761195183,0.5220247860997915,2014
139,4275,Lucas Piazon,22,1046,2,1.4780407808721066,0,2.4316983222961426,10,20,3,0,F M S,Eintracht Frankfurt,2,1.4780407808721066,5.719160445034504,2.9853919874876738,2014
140,4282,Marcell Jansen,15,1058,2,0.8916613142937422,1,1.1621914319694042,19,9,1,0,D M S,Hamburger SV,2,0.8916613142937422,3.0987419579178095,1.3288746569305658,2014
141,4287,Sejad Salihovic,13,437,2,1.9223830103874207,0,0.7091477941721678,12,11,3,0,M S,Hoffenheim,0,0.40682939998805523,1.8216246776282787,1.4479840099811554,2014
142,4291,Marc-Oliver Kempf,13,917,2,0.4672894887626171,0,0.2948315963149071,4,4,3,0,D S,Freiburg,2,0.4672894887626171,0.43125439807772636,0.26320479810237885,2014
143,4304,Sami Allagui,20,807,2,3.4142097793519497,0,1.0264689084142447,29,10,4,0,F M S,"Hertha Berlin,Mainz 05",2,3.4142097793519497,2.8737814277410507,1.2742163157090545,2014
144,3,Luca Caldirola,7,470,1,0.4327000081539154,0,0.06068670004606247,1,1,2,1,D S,Werder Bremen,1,0.4327000081539154,0.5550536103546619,0.12235360220074654,2014
145,15,Júnior Díaz,19,1435,1,1.4027020260691643,1,1.8244205163791776,16,10,4,0,D M S,Mainz 05,1,1.4027020260691643,2.3720015776343644,0.8312684553675354,2014
146,18,Slobodan Rajkovic,11,980,1,0.498949708417058,0,0.03228500112891197,4,1,1,0,D,Hamburger SV,1,0.498949708417058,0.5957219935953617,0.5634370036423206,2014
147,21,Sebastian Langkamp,16,1354,1,0.357213594019413,0,0,5,0,3,1,D S,Hertha Berlin,1,0.357213594019413,1.1085084080696106,1.1085084080696106,2014
148,22,John Brooks,27,2185,1,1.2048656679689884,0,0.009927989915013313,15,1,5,0,D S,Hertha Berlin,1,1.2048656679689884,1.5858047641813755,1.5047254636883736,2014
149,28,Mitchell Weiser,13,776,1,0.6454821135848761,4,1.204353392124176,7,10,2,0,D F M S,Bayern Munich,1,0.6454821135848761,5.350668229162693,4.233428351581097,2014
150,30,Jens Hegeler,24,1356,1,0.9319756738841534,1,0.4943893142044544,7,3,4,0,D M S,Hertha Berlin,0,0.1741986982524395,1.5712903793901205,1.0743475873023272,2014
151,35,Genki Haraguchi,21,1385,1,2.52588121779263,0,1.4701654985547066,24,13,2,0,M S,Hertha Berlin,1,2.52588121779263,4.493948645889759,0.5592150092124939,2014
152,39,Niko Bungert,26,2122,1,1.750021481886506,1,0.9074686728417873,17,5,4,0,D S,Mainz 05,1,1.750021481886506,3.8002101946622133,2.732166202738881,2014
